VMUE	VMSS
29.95	60.30
34.38	48.70
34.25	45.94
28.81	38.71
32.01	44.42
33.04	53.39
46.41	61.41
40.69	56.08
44.95	63.33
49.91	63.24
48.41	59.79
47.16	57.96
47.56	53.89
42.10	47.21
40.33	43.52
41.46	39.83
39.73	55.10
38.36	40.77
37.00	37.20
34.55	34.74
33.78	32.26
38.35	29.82
32.69	34.95
33.20	33.09
37.93	31.51
40.06	31.39
36.58	27.23
31.66	22.50
35.13	22.15
34.04	24.47
38.89	26.64
32.06	23.66
32.94	26.54
35.15	28.34
35.19	28.31
41.60	24.86
49.23	21.55
50.14	26.94
49.34	27.90
42.20	29.37
43.68	27.97
43.19	39.43
50.71	43.66
44.95	53.94
48.34	54.21
46.25	46.22
56.56	53.18
50.14	57.93
51.21	49.95
51.90	75.47
56.86	63.47
63.74	78.41
77.03	84.80
87.38	85.33
66.20	51.67
56.40	49.15
49.89	53.79
52.70	59.04
56.09	53.42
45.43	54.47
43.95	45.08
44.05	42.15
38.61	46.09
39.01	37.37
39.95	36.78
45.76	39.17
36.83	42.11
37.39	38.00
33.18	37.17
24.60	20.91
23.50	25.24
35.23	22.69
33.45	28.29
37.51	28.43
32.14	34.19
29.89	28.23
28.80	28.73
29.08	34.90
29.41	14.42
30.43	19.36
27.48	28.94
27.79	20.07
25.44	22.07
25.15	27.18
21.00	49.02
25.69	50.74
33.33	51.84
27.70	38.53
34.05	51.60
44.88	72.28
57.60	56.80
45.91	49.01
39.61	46.01
39.36	71.51
45.14	38.41
48.99	35.04
49.90	40.97
41.16	38.43
41.95	41.94
50.96	47.40
50.96	25.64
53.74	9.88
57.38	10.32
45.25	13.38
46.55	12.85
34.08	18.56
37.19	19.39
41.65	17.43
39.00	14.73
40.10	14.75
31.98	17.86
30.18	24.65
27.13	25.06
25.98	23.09
27.49	43.30
35.99	70.69
38.50	61.33
31.31	53.22
38.30	19.60
34.45	19.96
29.33	20.15
28.29	30.92
28.73	50.66
35.89	22.81
24.44	25.89
30.60	22.28
31.04	26.18
32.18	39.18
40.09	43.50
44.24	34.28
45.26	37.54
56.79	47.33
62.43	51.59
53.34	43.57
34.99	39.42
33.70	35.42
27.69	34.43
26.29	38.56
27.60	37.81
25.39	31.37
30.41	30.57
26.00	28.91
15.60	29.97
20.74	26.62
26.26	28.73
23.09	37.76
25.99	35.41
23.86	29.09
24.75	27.07
24.96	31.69
30.86	33.06
28.59	35.40
30.29	42.34
30.95	34.23
34.68	33.49
27.16	27.91
21.41	29.49
30.03	29.62
33.63	28.44
26.29	32.35
32.41	28.35
33.51	25.24
25.46	24.84
23.54	26.68
27.73	21.64
27.09	20.76
17.89	18.29
28.74	13.55
21.44	12.39
24.74	10.23
23.44	9.50
16.86	7.54
